date,reentry,underlying_price,ATM Strike,CE Entry,PE Entry,CE Exit,PE Exit,gross_pnl,PnL,ExitReason,EntryTime,ExitTime,expiry,weekday,trading_dy_typ,CumulativePnL,ce_sell_exp,pe_sell_exp,ce_buy_exp,pe_buy_exp,tt_exp,net_PnL
10-07-25,3,25416.6,25400,59.2,42,41.8,52.55,513.75,428.75,StopLoss,10-07-25 10:15,10-07-25 11:08,10-07-25,Thursday,0,-253.75,7.215,5.11875,1.72425,2.1676875,16.2256875,497.5243125
10-07-25,4,25380.9,25400,44.8,43.8,31.8,55.5,97.5,12.5,StopLoss,10-07-25 11:13,10-07-25 11:23,10-07-25,Thursday,0,-241.25,5.46,5.338125,1.31175,2.289375,14.39925,83.10075
10-07-25,5,25368.3,25350,63.4,25.75,60.15,8.45,1541.25,1456.25,TakeProfit,10-07-25 11:28,10-07-25 13:19,10-07-25,Thursday,0,1215,7.726875,3.13828125,2.4811875,0.3485625,13.69490625,1527.555094
11-07-25,0,25299.1,25300,132.95,123.95,95.2,160.85,63.75,-21.25,StopLoss,11-07-25 9:20,11-07-25 10:43,17-07-25,Friday,4,-21.25,16.20328125,15.10640625,3.927,6.6350625,41.87175,21.87825
11-07-25,1,25207.95,25200,142.3,115.6,116.95,130.75,765,680,Exit,11-07-25 10:48,11-07-25 15:20,17-07-25,Friday,4,658.75,17.3428125,14.08875,4.8241875,5.3934375,41.6491875,723.3508125
14-07-25,0,25101.55,25100,123.15,104.1,102.1,132.8,-573.75,-658.75,StopLoss,14-07-25 9:20,14-07-25 9:24,17-07-25,Monday,3,-658.75,15.00890625,12.6871875,4.211625,5.478,37.38571875,-611.1357188
14-07-25,1,25056.1,25050,133.3,94.45,166.9,72.7,-888.75,-973.75,StopLoss,14-07-25 9:29,14-07-25 9:58,17-07-25,Monday,3,-1632.5,16.2459375,11.51109375,6.884625,2.998875,37.64053125,-926.3905313
14-07-25,2,25119.7,25100,132.75,95,97.2,119.7,813.75,728.75,StopLoss,14-07-25 10:03,14-07-25 11:23,17-07-25,Monday,3,-903.75,16.17890625,11.578125,4.0095,4.937625,36.70415625,777.0458438
14-07-25,3,25049.75,25050,117.6,105.7,155.8,63.7,285,200,StopLoss,14-07-25 11:28,14-07-25 14:58,17-07-25,Monday,3,-703.75,14.3325,12.8821875,6.42675,2.627625,36.2690625,248.7309375
14-07-25,4,25096.2,25100,116.6,88.9,118.1,89.75,-176.25,-261.25,Exit,14-07-25 15:03,14-07-25 15:20,17-07-25,Monday,3,-965,14.210625,10.8346875,4.871625,3.7021875,33.619125,-209.869125
15-07-25,0,25142.05,25150,97.2,87.7,127.4,54.75,206.25,121.25,StopLoss,15-07-25 9:20,15-07-25 11:01,17-07-25,Tuesday,2,121.25,11.84625,10.6884375,5.25525,2.2584375,30.048375,176.201625
15-07-25,1,25208.45,25200,116.25,68.15,65.3,85.9,2490,2405,StopLoss,15-07-25 11:06,15-07-25 14:53,17-07-25,Tuesday,2,2526.25,14.16796875,8.30578125,2.693625,3.543375,28.71075,2461.28925
15-07-25,2,25158.55,25150,94,61.3,117.9,41.95,-341.25,-426.25,StopLoss,15-07-25 14:58,15-07-25 15:19,17-07-25,Tuesday,2,2100,11.45625,7.4709375,4.863375,1.7304375,25.521,-366.771
16-07-25,0,25157,25150,74.4,59.75,95.8,38.1,18.75,-66.25,StopLoss,16-07-25 9:20,16-07-25 11:54,17-07-25,Wednesday,1,-66.25,9.0675,7.28203125,3.95175,1.571625,21.87290625,-3.12290625
16-07-25,1,25209.65,25200,54.65,65.05,73.1,53,-480,-565,StopLoss,16-07-25 11:59,16-07-25 12:46,17-07-25,Wednesday,1,-631.25,6.66046875,7.92796875,3.015375,2.18625,19.7900625,-499.7900625
16-07-25,2,25214.95,25200,68.65,51,86.05,34.45,-63.75,-148.75,StopLoss,16-07-25 12:51,16-07-25 14:19,17-07-25,Wednesday,1,-780,8.36671875,6.215625,3.5495625,1.4210625,19.55296875,-83.30296875
16-07-25,3,25249.05,25250,51.55,62.65,40.6,69.3,322.5,237.5,Exit,16-07-25 14:24,16-07-25 15:20,17-07-25,Wednesday,1,-542.5,6.28265625,7.63546875,1.67475,2.858625,18.4515,304.0485
17-07-25,0,25201.85,25200,41,40.25,52.2,28.1,71.25,-13.75,StopLoss,17-07-25 9:20,17-07-25 9:23,17-07-25,Thursday,0,-13.75,4.996875,4.90546875,2.15325,1.159125,13.21471875,58.03528125
17-07-25,1,25222.15,25200,42.2,31.9,34.35,40.4,-48.75,-133.75,StopLoss,17-07-25 9:28,17-07-25 9:35,17-07-25,Thursday,0,-147.5,5.143125,3.8878125,1.4169375,1.6665,12.114375,-60.864375
17-07-25,2,25187.35,25200,33.75,39.85,25.8,51.45,-273.75,-358.75,StopLoss,17-07-25 9:40,17-07-25 10:11,17-07-25,Thursday,0,-506.25,4.11328125,4.85671875,1.06425,2.1223125,12.1565625,-285.9065625
17-07-25,3,25171.05,25150,44.55,35.85,60.6,15.9,292.5,207.5,StopLoss,17-07-25 10:16,17-07-25 11:12,17-07-25,Thursday,0,-298.75,5.42953125,4.36921875,2.49975,0.655875,12.954375,279.545625
17-07-25,4,25200,25200,23.9,39.7,29.95,31.1,191.25,106.25,StopLoss,17-07-25 11:17,17-07-25 11:27,17-07-25,Thursday,0,-192.5,2.9128125,4.8384375,1.2354375,1.282875,10.2695625,180.9804375
17-07-25,5,25186.95,25200,29.9,29.9,38.45,22,-48.75,-133.75,StopLoss,17-07-25 11:32,17-07-25 11:38,17-07-25,Thursday,0,-326.25,3.6440625,3.6440625,1.5860625,0.9075,9.7816875,-58.5316875
17-07-25,6,25202.85,25200,30.15,24,14.65,30.45,678.75,593.75,StopLoss,17-07-25 11:43,17-07-25 12:38,17-07-25,Thursday,0,267.5,3.67453125,2.925,0.6043125,1.2560625,8.45990625,670.2900938
17-07-25,7,25169.55,25150,67.35,5.8,49.5,8.9,1106.25,1021.25,StopLoss,17-07-25 12:43,17-07-25 12:48,17-07-25,Thursday,0,1288.75,8.20828125,0.706875,2.041875,0.367125,11.32415625,1094.925844
17-07-25,8,25178.25,25200,16.85,24.4,11.65,32.25,-198.75,-283.75,StopLoss,17-07-25 12:53,17-07-25 13:05,17-07-25,Thursday,0,1005,2.05359375,2.97375,0.4805625,1.3303125,6.83821875,-205.5882188
17-07-25,9,25166.85,25150,43.25,9.15,36.1,12.75,266.25,181.25,StopLoss,17-07-25 13:10,17-07-25 13:24,17-07-25,Thursday,0,1186.25,5.27109375,1.11515625,1.489125,0.5259375,8.4013125,257.8486875
17-07-25,10,25157.55,25150,39.2,9.45,23.2,15.85,720,635,StopLoss,17-07-25 13:29,17-07-25 14:11,17-07-25,Thursday,0,1821.25,4.7775,1.15171875,0.957,0.6538125,7.54003125,712.4599688
18-07-25,0,25094.1,25100,137,117.35,106.55,147.3,37.5,-47.5,StopLoss,18-07-25 9:20,18-07-25 10:01,24-07-25,Friday,4,-47.5,16.696875,14.30203125,4.3951875,6.076125,41.47021875,-3.97021875
18-07-25,1,25024.65,25000,158.4,105.35,144.3,132.15,-952.5,-1037.5,StopLoss,18-07-25 10:06,18-07-25 10:16,24-07-25,Friday,4,-1085,19.305,12.83953125,5.952375,5.4511875,43.54809375,-996.0480938
18-07-25,2,24980.75,25000,132.85,145.85,133.4,118.1,2040,1955,Exit,18-07-25 10:21,18-07-25 15:20,24-07-25,Friday,4,870,16.19109375,17.77546875,5.50275,4.871625,44.3409375,1995.659063
21-07-25,0,24939.25,24950,113,107.25,150.8,81,-866.25,-951.25,StopLoss,21-07-25 9:20,21-07-25 9:48,24-07-25,Monday,3,-951.25,13.771875,13.07109375,6.2205,3.34125,36.40471875,-902.6547188
21-07-25,1,24988.4,25000,127.25,93,159.8,73.8,-1001.25,-1086.25,StopLoss,21-07-25 9:53,21-07-25 10:09,24-07-25,Monday,3,-2037.5,15.50859375,11.334375,6.59175,3.04425,36.47896875,-1037.728969
21-07-25,2,25055.8,25050,124.2,95.1,133,61.4,1867.5,1782.5,Exit,21-07-25 10:14,21-07-25 15:20,24-07-25,Monday,3,-255,15.136875,11.5903125,5.48625,2.53275,34.7461875,1832.753813
22-07-25,0,25121.95,25100,103.8,73,66.3,98.85,873.75,788.75,StopLoss,22-07-25 9:20,22-07-25 11:06,24-07-25,Tuesday,2,788.75,12.650625,8.896875,2.734875,4.0775625,28.3599375,845.3900625
22-07-25,1,25059.1,25050,94.9,67.15,92.05,53.05,1271.25,1186.25,Exit,22-07-25 11:11,22-07-25 15:20,24-07-25,Tuesday,2,1975,11.5659375,8.18390625,3.7970625,2.1883125,25.73521875,1245.514781
23-07-25,0,25138.5,25150,59,65.4,43.3,83.75,-198.75,-283.75,StopLoss,23-07-25 9:20,23-07-25 9:42,24-07-25,Wednesday,1,-283.75,7.190625,7.970625,1.786125,3.4546875,20.4020625,-219.1520625
23-07-25,1,25096.3,25100,65.05,58.8,81.9,39.2,206.25,121.25,StopLoss,23-07-25 9:47,23-07-25 11:02,24-07-25,Wednesday,1,-162.5,7.92796875,7.16625,3.378375,1.617,20.08959375,186.1604063
23-07-25,2,25133.1,25150,56.1,59.45,72.85,42.4,22.5,-62.5,StopLoss,23-07-25 11:07,23-07-25 12:17,24-07-25,Wednesday,1,-225,6.8371875,7.24546875,3.0050625,1.749,18.83671875,3.66328125
23-07-25,3,25167.3,25150,71.85,41.95,90.15,30.2,-491.25,-576.25,StopLoss,23-07-25 12:22,23-07-25 14:13,24-07-25,Wednesday,1,-801.25,8.75671875,5.11265625,3.7186875,1.24575,18.8338125,-510.0838125
