date,reentry,underlying_price,ATM Strike,CE Entry,PE Entry,CE Exit,PE Exit,PnL,ExitReason,EntryTime,ExitTime,expiry,weekday,trading_dy_typ,CumulativePnL
2025-10-16,2,25515.8,25500,121.35,70.0,162.8,54.95,-1980.0000000000005,StopLoss,2025-10-16 12:59:00,2025-10-16 14:07:00,2025-10-20,Thursday,3.0,-4053.7500000000027
2025-10-16,3,25561.9,25550,133.95,67.35,126.4,67.65,543.7499999999978,Exit,2025-10-16 14:12:00,2025-10-16 15:20:00,2025-10-20,Thursday,3.0,-3510.000000000005
2025-10-17,0,25547.15,25550,94.25,82.1,118.0,68.75,-780.0000000000005,StopLoss,2025-10-17 09:20:00,2025-10-17 09:26:00,2025-10-20,Friday,2.0,-780.0000000000005
2025-10-17,1,25583.7,25600,102.4,78.25,133.25,58.5,-832.4999999999995,StopLoss,2025-10-17 09:31:00,2025-10-17 10:07:00,2025-10-20,Friday,2.0,-1612.5
2025-10-17,2,25645.2,25650,110.0,75.2,140.35,60.35,-1162.5,StopLoss,2025-10-17 10:12:00,2025-10-17 10:52:00,2025-10-20,Friday,2.0,-2775.0
2025-10-17,3,25703.9,25700,119.7,72.15,153.35,60.35,-1638.7499999999975,StopLoss,2025-10-17 10:57:00,2025-10-17 11:12:00,2025-10-20,Friday,2.0,-4413.749999999997
2025-10-17,4,25754.1,25750,119.85,78.05,80.5,112.2,389.99999999999915,StopLoss,2025-10-17 11:17:00,2025-10-17 12:50:00,2025-10-20,Friday,2.0,-4023.749999999998
2025-10-17,5,25710.15,25700,99.0,92.75,74.5,116.35,67.50000000000043,StopLoss,2025-10-17 12:55:00,2025-10-17 13:08:00,2025-10-20,Friday,2.0,-3956.2499999999977
2025-10-17,6,25653.6,25650,106.45,86.0,136.95,47.85,573.7500000000005,StopLoss,2025-10-17 13:13:00,2025-10-17 14:35:00,2025-10-20,Friday,2.0,-3382.4999999999973
2025-10-17,7,25712.4,25700,121.5,52.75,93.35,69.4,862.5,StopLoss,2025-10-17 14:40:00,2025-10-17 15:01:00,2025-10-20,Friday,2.0,-2519.9999999999973
2025-10-17,8,25709.05,25700,102.25,63.2,98.65,65.65,86.2499999999983,Exit,2025-10-17 15:06:00,2025-10-17 15:20:00,2025-10-20,Friday,2.0,-2433.749999999999
2025-10-20,0,25913.45,25900,72.15,38.2,55.85,48.15,476.2500000000006,StopLoss,2025-10-20 09:20:00,2025-10-20 09:23:00,2025-10-20,Monday,1.0,476.2500000000006
2025-10-20,1,25887.8,25900,53.65,71.9,41.65,94.05,-761.2499999999983,StopLoss,2025-10-20 09:28:00,2025-10-20 09:42:00,2025-10-20,Monday,1.0,-284.99999999999767
2025-10-20,2,25843.75,25850,54.85,75.25,47.45,97.0,-1076.2499999999995,StopLoss,2025-10-20 09:47:00,2025-10-20 09:50:00,2025-10-20,Monday,1.0,-1361.2499999999973
2025-10-20,3,25800.45,25800,69.9,65.0,91.1,49.05,-393.74999999999784,StopLoss,2025-10-20 09:55:00,2025-10-20 10:03:00,2025-10-20,Monday,1.0,-1754.999999999995
2025-10-20,4,25838.25,25850,59.1,72.0,78.25,35.5,1301.2499999999995,StopLoss,2025-10-20 10:08:00,2025-10-20 10:46:00,2025-10-20,Monday,1.0,-453.74999999999545
2025-10-20,5,25879.95,25900,50.5,57.9,32.35,72.9,236.25000000000043,StopLoss,2025-10-20 10:51:00,2025-10-20 11:19:00,2025-10-20,Monday,1.0,-217.49999999999503
2025-10-20,6,25846.2,25850,50.6,49.55,61.4,15.95,1710.000000000001,TakeProfit,2025-10-20 11:24:00,2025-10-20 12:50:00,2025-10-20,Monday,1.0,1492.500000000006
