date,reentry,underlying_price,ATM Strike,CE Entry,PE Entry,CE Exit,PE Exit,gross_pnl,net_PnL,ExitReason,EntryTime,ExitTime,expiry,weekday,trading_dy_typ,CumulativePnL,,ce_sell_exp,put_sell_exp,ce_buy_exp,pe_buy_exp,exp,net
30-01-25,2,23280.25,23300,77.25,115.2,25.15,73.2,7057.5,6972.5,TakeProfit,30-01-25 10:14,30-01-25 13:19,30-01-25,Thursday,0,6255,,9.41484375,14.041728,0.105969525,0.3084282,23.87096948,7033.629031
31-01-25,0,23294.8,23300,348.6,295.55,444.4,162.95,2760,2675,StopLoss,31-01-25 9:20,31-01-25 13:26,06-02-25,Friday,4,2675,,42.485625,36.0245895,1.8724794,0.686589825,81.06928373,2678.930716
31-01-25,1,23517.85,23500,309.95,228.95,285.45,216.25,2790,2705,Exit,31-01-25 13:31,31-01-25 15:20,06-02-25,Friday,4,5380,,37.77515625,27.9067155,1.202743575,0.911169375,67.7957847,2722.204215
03-02-25,0,23247.15,23250,171.6,121.1,201,67.1,1845,1760,Exit,03-02-25 9:20,03-02-25 15:20,06-02-25,Monday,3,1760,,20.91375,14.760879,0.8469135,0.28272585,36.80426835,1808.195732
04-02-25,0,23514.35,23500,106.85,93.15,120.85,116.85,-2827.5,-2912.5,StopLoss,04-02-25 9:20,04-02-25 9:31,06-02-25,Tuesday,2,-2912.5,,13.02234375,11.3540535,0.509201475,0.492347475,25.3779462,-2852.877946
04-02-25,1,23495.15,23500,135.25,111.55,170.1,105.9,-2190,-2275,StopLoss,04-02-25 9:36,04-02-25 9:40,06-02-25,Tuesday,2,-5187.5,,16.48359375,13.5968295,0.71671635,0.44620965,31.24334925,-2221.243349
04-02-25,2,23562.7,23550,140.8,129.15,124.85,164.75,-1473.75,-1558.75,StopLoss,04-02-25 9:45,04-02-25 10:29,06-02-25,Tuesday,2,-6746.25,,17.16,15.7420935,0.526055475,0.694174125,34.1223231,-1507.872323
04-02-25,3,23500.95,23500,147.05,151.95,186.15,97.65,1140,1055,StopLoss,04-02-25 10:34,04-02-25 11:50,06-02-25,Tuesday,2,-5691.25,,17.92171875,18.5211855,0.784343025,0.411448275,37.63869555,1102.361304
04-02-25,4,23593.35,23600,114.35,156.1,143.75,126,52.5,-32.5,StopLoss,04-02-25 11:55,04-02-25 13:10,06-02-25,Tuesday,2,-5723.75,,13.93640625,19.027029,0.605690625,0.530901,34.10002688,18.39997312
04-02-25,5,23633.4,23650,115.6,147.4,146.5,119,-187.5,-272.5,StopLoss,04-02-25 13:15,04-02-25 13:52,06-02-25,Tuesday,2,-5996.25,,14.08875,17.966586,0.61727775,0.5014065,33.17402025,-220.6740203
04-02-25,6,23708.65,23700,110,142.9,90.55,96,4976.25,4891.25,Exit,04-02-25 13:57,04-02-25 15:20,06-02-25,Tuesday,2,-1105,,13.40625,17.418081,0.381532425,0.404496,31.61035943,4944.639641
05-02-25,0,23751.7,23750,75.9,104.55,49.3,114.95,1215,1130,Exit,05-02-25 9:20,05-02-25 15:20,06-02-25,Wednesday,1,1130,,9.2503125,12.7435995,0.20772555,0.484341825,22.68597938,1192.314021
06-02-25,0,23718,23700,58.5,58.1,58.8,74.05,-1218.75,-1303.75,StopLoss,06-02-25 9:20,06-02-25 9:22,06-02-25,Thursday,0,-1303.75,,7.1296875,7.081809,0.2477538,0.312009675,14.77125998,-1233.52126
06-02-25,1,23701.15,23700,61.75,82.15,53.1,106.25,-1158.75,-1243.75,StopLoss,06-02-25 9:27,06-02-25 9:33,06-02-25,Thursday,0,-2547.5,,7.52578125,10.0132635,0.22373685,0.447684375,18.21046598,-1176.960466
06-02-25,2,23666.25,23650,69.7,71.5,23.45,46.4,5351.25,5266.25,TakeProfit,06-02-25 9:38,06-02-25 10:46,06-02-25,Thursday,0,2718.75,,8.4946875,8.715135,0.098806575,0.1955064,17.50413548,5333.745865
07-02-25,0,23583.25,23600,204.6,190.2,139.5,163.25,6903.75,6818.75,Exit,07-02-25 9:20,07-02-25 15:20,13-02-25,Friday,4,6818.75,,24.935625,23.183478,0.58778325,0.687853875,49.39474013,6854.35526
10-02-25,0,23464.6,23450,175.4,132.35,132.65,168.55,491.25,406.25,StopLoss,10-02-25 9:20,10-02-25 10:09,13-02-25,Monday,3,406.25,,21.376875,16.1321415,0.558920775,0.710185425,38.7781227,452.4718773
10-02-25,1,23389,23400,150.1,155.6,145,129.95,2306.25,2221.25,Exit,10-02-25 10:14,10-02-25 15:20,13-02-25,Monday,3,2627.5,,18.2934375,18.966084,0.6109575,0.547544325,38.41802333,2267.831977
11-02-25,0,23339.85,23350,149.35,146.8,66.3,189,3063.75,2978.75,StopLoss,11-02-25 9:20,11-02-25 12:55,13-02-25,Tuesday,2,2978.75,,18.20203125,17.893452,0.27935505,0.7963515,37.1711898,3026.57881
11-02-25,1,23201.45,23200,114.3,133.9,88.2,178.5,-1387.5,-1472.5,StopLoss,11-02-25 13:00,11-02-25 13:10,13-02-25,Tuesday,2,1506.25,,13.9303125,16.321071,0.3716307,0.75210975,31.37512395,-1418.875124
11-02-25,2,23095.1,23100,119.45,143.8,88.8,183.5,-678.75,-763.75,StopLoss,11-02-25 13:15,11-02-25 14:07,13-02-25,Tuesday,2,742.5,,14.55796875,17.527782,0.3741588,0.77317725,33.2330868,-711.9830868
11-02-25,3,22988.5,23000,152.9,98.5,195,61.2,-360,-445,StopLoss,11-02-25 14:12,11-02-25 14:54,13-02-25,Tuesday,2,297.5,,18.6346875,12.006165,0.8216325,0.2578662,31.7203512,-391.7203512
11-02-25,4,23113,23100,109.45,121.1,109.9,121.05,-30,-115,Exit,11-02-25 14:59,11-02-25 15:20,13-02-25,Tuesday,2,182.5,,13.33921875,14.760879,0.46306365,0.510044175,29.07320558,-59.07320558
12-02-25,0,23039.05,23050,110.2,95.05,85.3,123.6,-273.75,-358.75,StopLoss,12-02-25 9:20,12-02-25 9:29,13-02-25,Wednesday,1,-358.75,,13.430625,11.5856445,0.35941155,0.5207886,25.89646965,-299.6464696
12-02-25,1,22979.2,23000,90.4,122.2,52.3,159.6,52.5,-32.5,StopLoss,12-02-25 9:34,12-02-25 9:49,13-02-25,Wednesday,1,-391.25,,11.0175,14.894958,0.22036605,0.6724746,26.80529865,25.69470135
12-02-25,2,22858.6,22850,130.55,74.3,103.95,97.35,266.25,181.25,StopLoss,12-02-25 9:54,12-02-25 9:58,13-02-25,Wednesday,1,-210,,15.91078125,9.056427,0.437993325,0.410184225,25.8153858,240.4346142
12-02-25,3,22834.7,22850,105.5,102.35,132,88.45,-945,-1030,StopLoss,12-02-25 10:03,12-02-25 10:19,13-02-25,Wednesday,1,-1240,,12.8578125,12.4754415,0.556182,0.372684075,26.26212008,-971.2621201
12-02-25,4,22856.15,22850,133.6,84.5,174.1,57,-975,-1060,StopLoss,12-02-25 10:24,12-02-25 10:49,13-02-25,Wednesday,1,-2300,,16.2825,10.299705,0.73357035,0.2401695,27.55594485,-1002.555945
12-02-25,5,22941.55,22950,109.15,100.35,79.35,129.8,26.25,-58.75,StopLoss,12-02-25 10:54,12-02-25 11:05,13-02-25,Wednesday,1,-2358.75,,13.30265625,12.2316615,0.334341225,0.5469123,26.41557128,-0.165571275
12-02-25,6,22881.85,22900,138.4,78.75,197,54.6,-2583.75,-2668.75,StopLoss,12-02-25 11:10,12-02-25 11:44,13-02-25,Wednesday,1,-5027.5,,16.8675,9.5988375,0.8300595,0.2300571,27.5264541,-2611.276454
